ticker_id,ticker,ticker-full,short-name,sector_id,sector,industry_id,industry
1,ASTS,ASTS US Equity,AST SPACEMOBILE,1,Communication Services,20,Diversified Telecommunication Services
2,ATEX,ATEX US Equity,ANTERIX INC,1,Communication Services,20,Diversified Telecommunication Services
3,ATNI,ATNI US Equity,ATN INTERNATIONA,1,Communication Services,20,Diversified Telecommunication Services
4,BAND,BAND US Equity,BANDWIDTH INC-A,1,Communication Services,20,Diversified Telecommunication Services
5,CCOI,CCOI US Equity,COGENT COMMUNICA,1,Communication Services,20,Diversified Telecommunication Services
6,FYBR,FYBR US Equity,FRONTIER COMMUNI,1,Communication Services,20,Diversified Telecommunication Services
7,GSAT,GSAT US Equity,GLOBALSTAR INC,1,Communication Services,20,Diversified Telecommunication Services
8,IDT,IDT US Equity,IDT CORP-CLASS B,1,Communication Services,20,Diversified Telecommunication Services
9,IQST,IQST US Equity,IQSTEL INC,1,Communication Services,20,Diversified Telecommunication Services
10,IRDM,IRDM US Equity,IRIDIUM COMMUNIC,1,Communication Services,20,Diversified Telecommunication Services
11,LILA,LILA US Equity,LIBERTY LATI-A,1,Communication Services,20,Diversified Telecommunication Services
12,LILAK,LILAK US Equity,LIBERTY LATI-C,1,Communication Services,20,Diversified Telecommunication Services
13,LUMN,LUMN US Equity,LUMEN TECHNOLOGI,1,Communication Services,20,Diversified Telecommunication Services
14,NXPL,NXPL US Equity,NEXTPLAT CORP,1,Communication Services,20,Diversified Telecommunication Services
15,SHEN,SHEN US Equity,SHENANDOAH TELEC,1,Communication Services,20,Diversified Telecommunication Services
16,T,T US Equity,AT&T INC,1,Communication Services,20,Diversified Telecommunication Services
17,VZ,VZ US Equity,VERIZON COMMUNIC,1,Communication Services,20,Diversified Telecommunication Services
18,AMC,AMC US Equity,AMC ENTERTAINMEN,1,Communication Services,25,Entertainment
19,BATRA,BATRA US Equity,ATLANTA BRAVES H,1,Communication Services,25,Entertainment
20,BATRK,BATRK US Equity,ATLANTA BRAVES H,1,Communication Services,25,Entertainment
21,BLMZ,BLMZ US Equity,BLOOMZ INC,1,Communication Services,25,Entertainment
22,CNK,CNK US Equity,CINEMARK HOLDING,1,Communication Services,25,Entertainment
23,CNVS,CNVS US Equity,CINEVERSE CORP,1,Communication Services,25,Entertainment
24,CURI,CURI US Equity,CURIOSITYSTREAM,1,Communication Services,25,Entertainment
25,DIS,DIS US Equity,WALT DISNEY CO/T,1,Communication Services,25,Entertainment
26,DLPN,DLPN US Equity,DOLPHIN ENTERTAI,1,Communication Services,25,Entertainment
27,EA,EA US Equity,ELECTRONIC ARTS,1,Communication Services,25,Entertainment
28,EB,EB US Equity,EVENTBRITE INC-A,1,Communication Services,25,Entertainment
29,FWONA,FWONA US Equity,LIBERTY MEDIA CO,1,Communication Services,25,Entertainment
30,FWONK,FWONK US Equity,LIBERTY MEDIA CO,1,Communication Services,25,Entertainment
31,GAIA,GAIA US Equity,GAIA INC,1,Communication Services,25,Entertainment
32,GMGI,GMGI US Equity,GOLDEN MATRIX GR,1,Communication Services,25,Entertainment
33,GXAI,GXAI US Equity,GAXOS.AI INC,1,Communication Services,25,Entertainment
34,LLYVA,LLYVA US Equity,LIBERTY MEDIA CO,1,Communication Services,25,Entertainment
35,LLYVK,LLYVK US Equity,LIBERTY MEDIA CO,1,Communication Services,25,Entertainment
36,LVO,LVO US Equity,LIVEONE INC,1,Communication Services,25,Entertainment
37,LYV,LYV US Equity,LIVE NATION ENTE,1,Communication Services,25,Entertainment
38,MCS,MCS US Equity,MARCUS CORP,1,Communication Services,25,Entertainment
39,MITQ,MITQ US Equity,MOVING IMAGE TEC,1,Communication Services,25,Entertainment
40,MSGE,MSGE US Equity,MADISON SQUARE G,1,Communication Services,25,Entertainment
41,MSGM,MSGM US Equity,MOTORSPORT GAM-A,1,Communication Services,25,Entertainment
42,MSGS,MSGS US Equity,MADISON SQUARE G,1,Communication Services,25,Entertainment
43,MYPS,MYPS US Equity,PLAYSTUDIOS INC,1,Communication Services,25,Entertainment
44,NFLX,NFLX US Equity,NETFLIX INC,1,Communication Services,25,Entertainment
45,PODC,PODC US Equity,PODCASTONE INC,1,Communication Services,25,Entertainment
46,RBLX,RBLX US Equity,ROBLOX CORP - A,1,Communication Services,25,Entertainment
47,RDI,RDI US Equity,READING INTL-A,1,Communication Services,25,Entertainment
48,RDIB,RDIB US Equity,READING INTL-B,1,Communication Services,25,Entertainment
49,ROKU,ROKU US Equity,ROKU INC,1,Communication Services,25,Entertainment
50,RSVR,RSVR US Equity,RESERVOIR MEDIA,1,Communication Services,25,Entertainment
51,SEAT,SEAT US Equity,VIVID SEATS IN-A,1,Communication Services,25,Entertainment
52,SKLZ,SKLZ US Equity,SKILLZ INC,1,Communication Services,25,Entertainment
53,SNAL,SNAL US Equity,SNAIL INC - CL A,1,Communication Services,25,Entertainment
54,SPHR,SPHR US Equity,SPHERE ENTERTAIN,1,Communication Services,25,Entertainment
55,STRZ,STRZ US Equity,STARZ ENTERTAINM,1,Communication Services,25,Entertainment
56,TBH,TBH US Equity,BRAG HOUSE HOLDI,1,Communication Services,25,Entertainment
57,TKO,TKO US Equity,TKO GROUP HOLDIN,1,Communication Services,25,Entertainment
58,TOON,TOON US Equity,KARTOON STUDIOS,1,Communication Services,25,Entertainment
59,TRUG,TRUG US Equity,TRUGOLF HOLDIN-A,1,Communication Services,25,Entertainment
60,TTWO,TTWO US Equity,TAKE-TWO INTERAC,1,Communication Services,25,Entertainment
61,WBD,WBD US Equity,WARNER BROS DISC,1,Communication Services,25,Entertainment
62,WMG,WMG US Equity,WARNER MUSIC-A,1,Communication Services,25,Entertainment
63,ANGI,ANGI US Equity,ANGI INC,1,Communication Services,41,Interactive Media & Services
64,AREN,AREN US Equity,ARENA GROUP HOLD,1,Communication Services,41,Interactive Media & Services
65,BMBL,BMBL US Equity,BUMBLE INC-A,1,Communication Services,41,Interactive Media & Services
66,BZFD,BZFD US Equity,BUZZFEED INC,1,Communication Services,41,Interactive Media & Services
67,CARG,CARG US Equity,CARGURUS INC,1,Communication Services,41,Interactive Media & Services
68,CARS,CARS US Equity,CARS.COM INC,1,Communication Services,41,Interactive Media & Services
69,DHX,DHX US Equity,DHI GROUP INC,1,Communication Services,41,Interactive Media & Services
70,DJT,DJT US Equity,TRUMP MEDIA & TE,1,Communication Services,41,Interactive Media & Services
71,EVER,EVER US Equity,EVERQUOTE INC-A,1,Communication Services,41,Interactive Media & Services
72,FUBO,FUBO US Equity,FUBOTV INC,1,Communication Services,41,Interactive Media & Services
73,GETY,GETY US Equity,GETTY IMAGES HOL,1,Communication Services,41,Interactive Media & Services
74,GIFT,GIFT US Equity,GIFTIFY INC,1,Communication Services,41,Interactive Media & Services
75,GOOG,GOOG US Equity,ALPHABET INC-C,1,Communication Services,41,Interactive Media & Services
76,GOOGL,GOOGL US Equity,ALPHABET INC-A,1,Communication Services,41,Interactive Media & Services
77,GRND,GRND US Equity,GRINDR INC,1,Communication Services,41,Interactive Media & Services
78,GTM,GTM US Equity,ZOOMINFO TECH,1,Communication Services,41,Interactive Media & Services
79,HWH,HWH US Equity,HWH INTERNATIONA,1,Communication Services,41,Interactive Media & Services
80,IAC,IAC US Equity,IAC INC,1,Communication Services,41,Interactive Media & Services
81,IPM,IPM US Equity,INTELLIGENT PROT,1,Communication Services,41,Interactive Media & Services
82,IZEA,IZEA US Equity,IZEA WORLDWIDE I,1,Communication Services,41,Interactive Media & Services
83,KIND,KIND US Equity,NEXTDOOR HOLDING,1,Communication Services,41,Interactive Media & Services
84,MAX,MAX US Equity,MEDIAALPHA INC-A,1,Communication Services,41,Interactive Media & Services
85,META,META US Equity,META PLATFORMS-A,1,Communication Services,41,Interactive Media & Services
86,MTCH,MTCH US Equity,MATCH GROUP INC,1,Communication Services,41,Interactive Media & Services
87,PINS,PINS US Equity,PINTEREST INC -A,1,Communication Services,41,Interactive Media & Services
88,PSQH,PSQH US Equity,PSQ HOLDINGS INC,1,Communication Services,41,Interactive Media & Services
89,QNST,QNST US Equity,QUINSTREET INC,1,Communication Services,41,Interactive Media & Services
90,RDDT,RDDT US Equity,REDDIT INC-A,1,Communication Services,41,Interactive Media & Services
91,RUM,RUM US Equity,RUMBLE INC,1,Communication Services,41,Interactive Media & Services
92,SLE,SLE US Equity,SUPER LEAGUE ENT,1,Communication Services,41,Interactive Media & Services
93,SNAP,SNAP US Equity,SNAP INC - A,1,Communication Services,41,Interactive Media & Services
94,SOPA,SOPA US Equity,SOCIETY PASS INC,1,Communication Services,41,Interactive Media & Services
95,SST,SST US Equity,SYSTEM1 INC,1,Communication Services,41,Interactive Media & Services
96,SSTK,SSTK US Equity,SHUTTERSTOCK INC,1,Communication Services,41,Interactive Media & Services
97,TEAD,TEAD US Equity,TEADS HOLDING CO,1,Communication Services,41,Interactive Media & Services
98,TRIP,TRIP US Equity,TRIPADVISOR INC,1,Communication Services,41,Interactive Media & Services
99,TZOO,TZOO US Equity,TRAVELZOO,1,Communication Services,41,Interactive Media & Services
100,VMEO,VMEO US Equity,VIMEO INC,1,Communication Services,41,Interactive Media & Services
101,WBTN,WBTN US Equity,WEBTOON ENTERTAI,1,Communication Services,41,Interactive Media & Services
102,YELP,YELP US Equity,YELP INC,1,Communication Services,41,Interactive Media & Services
103,ZD,ZD US Equity,ZIFF DAVIS INC,1,Communication Services,41,Interactive Media & Services
104,ZDGE,ZDGE US Equity,ZEDGE INC-B,1,Communication Services,41,Interactive Media & Services
105,ZIP,ZIP US Equity,ZIPRECRUITER INC,1,Communication Services,41,Interactive Media & Services
106,TRUE,TRUE US Equity,TRUECAR INC,1,Communication Services,41,Interactive Media & Services
107,ADV,ADV US Equity,ADVANTAGE SOLUTI,1,Communication Services,46,Media
108,AMCX,AMCX US Equity,AMC NETWORKS-A,1,Communication Services,46,Media
109,ASST,ASST US Equity,ASSET ENTITIES-B,1,Communication Services,46,Media
110,ATUS,ATUS US Equity,ALTICE USA INC-A,1,Communication Services,46,Media
111,BBGI,BBGI US Equity,BEASLEY BROAD -A,1,Communication Services,46,Media
112,BOC,BOC US Equity,BOSTON OMAHA -A,1,Communication Services,46,Media
113,CABO,CABO US Equity,CABLE ONE INC,1,Communication Services,46,Media
114,CCO,CCO US Equity,CLEAR CHANNEL OU,1,Communication Services,46,Media
115,CDLX,CDLX US Equity,CARDLYTICS INC,1,Communication Services,46,Media
116,CHTR,CHTR US Equity,CHARTER COMMUN-A,1,Communication Services,46,Media
117,CMCSA,CMCSA US Equity,COMCAST CORP-A,1,Communication Services,46,Media
118,CREX,CREX US Equity,CREATIVE REALITI,1,Communication Services,46,Media
119,DALN,DALN US Equity,DALLASNEWS CORP,1,Communication Services,46,Media
120,DRCT,DRCT US Equity,DIRECT DIGITAL-A,1,Communication Services,46,Media
121,DV,DV US Equity,DOUBLEVERIFY HOL,1,Communication Services,46,Media
122,EEX,EEX US Equity,EMERALD HOLDING,1,Communication Services,46,Media
123,EVC,EVC US Equity,ENTRAVISION CO-A,1,Communication Services,46,Media
124,FLNT,FLNT US Equity,FLUENT INC,1,Communication Services,46,Media
125,FOX,FOX US Equity,FOX CORP - B,1,Communication Services,46,Media
126,FOXA,FOXA US Equity,FOX CORP - A,1,Communication Services,46,Media
127,GCI,GCI US Equity,GANNETT CO INC,1,Communication Services,46,Media
128,GTN,GTN US Equity,GRAY MEDIA INC,1,Communication Services,46,Media
129,GTN/A,GTN/A US Equity,GRAY MEDIA INC-A,1,Communication Services,46,Media
130,HHS,HHS US Equity,HARTE-HANKS INC,1,Communication Services,46,Media
131,IAS,IAS US Equity,INTEGRAL AD SCIE,1,Communication Services,46,Media
132,IBTA,IBTA US Equity,IBOTTA INC-CL A,1,Communication Services,46,Media
133,IHRT,IHRT US Equity,IHEARTMEDIA-CL A,1,Communication Services,46,Media
134,IPG,IPG US Equity,INTERPUBLIC GRP,1,Communication Services,46,Media
135,LBRDA,LBRDA US Equity,LIBERTY BR-A,1,Communication Services,46,Media
136,LBRDK,LBRDK US Equity,LIBERTY BR-C,1,Communication Services,46,Media
137,LEE,LEE US Equity,LEE ENTERPRISES,1,Communication Services,46,Media
138,MCHX,MCHX US Equity,MARCHEX INC-B,1,Communication Services,46,Media
139,MGNI,MGNI US Equity,MAGNITE INC,1,Communication Services,46,Media
140,MNTN,MNTN US Equity,MNTN INC-A,1,Communication Services,46,Media
141,NCMI,NCMI US Equity,NATIONAL CINEMED,1,Communication Services,46,Media
142,NMAX,NMAX US Equity,NEWSMAX INC,1,Communication Services,46,Media
143,NWS,NWS US Equity,NEWS CORP-CL B,1,Communication Services,46,Media
144,NWSA,NWSA US Equity,NEWS CORP-CL A,1,Communication Services,46,Media
145,NXST,NXST US Equity,NEXSTAR MEDIA,1,Communication Services,46,Media
146,NYT,NYT US Equity,NEW YORK TIMES-A,1,Communication Services,46,Media
147,OMC,OMC US Equity,OMNICOM GROUP,1,Communication Services,46,Media
148,PARA,PARA US Equity,PARAMOUNT GLOB-B,1,Communication Services,46,Media
149,PARAA,PARAA US Equity,PARAMOUNT GLOB-A,1,Communication Services,46,Media
150,PUBM,PUBM US Equity,PUBMATIC INC-A,1,Communication Services,46,Media
151,SATS,SATS US Equity,ECHOSTAR CORP-A,1,Communication Services,46,Media
152,SBGI,SBGI US Equity,SINCLAIR INC,1,Communication Services,46,Media
153,SCHL,SCHL US Equity,SCHOLASTIC CORP,1,Communication Services,46,Media
154,SCOR,SCOR US Equity,COMSCORE INC,1,Communication Services,46,Media
155,SGA,SGA US Equity,SAGA COMM-CL A,1,Communication Services,46,Media
156,SGRP,SGRP US Equity,SPAR GROUP INC,1,Communication Services,46,Media
157,SIRI,SIRI US Equity,SIRIUS XM HOLDIN,1,Communication Services,46,Media
158,SSP,SSP US Equity,EW SCRIPPS-A,1,Communication Services,46,Media
159,STGW,STGW US Equity,STAGWELL INC,1,Communication Services,46,Media
160,SWAG,SWAG US Equity,STRAN & CO INC,1,Communication Services,46,Media
161,TGL,TGL US Equity,TREASURE GLOBAL,1,Communication Services,46,Media
162,TGNA,TGNA US Equity,TEGNA INC,1,Communication Services,46,Media
163,THRY,THRY US Equity,THRYV HOLDINGS I,1,Communication Services,46,Media
164,TSQ,TSQ US Equity,TOWNSQUARE MED-A,1,Communication Services,46,Media
165,TTD,TTD US Equity,TRADE DESK INC-A,1,Communication Services,46,Media
166,TTGT,TTGT US Equity,TECHTARGET INC,1,Communication Services,46,Media
167,UONE,UONE US Equity,URBAN ONE INC,1,Communication Services,46,Media
168,UONEK,UONEK US Equity,URBAN ONE INC,1,Communication Services,46,Media
169,WLY,WLY US Equity,WILEY JOHN&SON-A,1,Communication Services,46,Media
170,WLYB,WLYB US Equity,WILEY JOHN&SON-B,1,Communication Services,46,Media
171,WOW,WOW US Equity,WIDEOPENWEST INC,1,Communication Services,46,Media
172,XHLD,XHLD US Equity,TEN HOLDINGS INC,1,Communication Services,46,Media
173,YHC,YHC US Equity,LQR HOUSE INC,1,Communication Services,46,Media
174,GOGO,GOGO US Equity,GOGO INC,1,Communication Services,65,Wireless Telecommunication Services
175,KORE,KORE US Equity,KORE GROUP HOLDI,1,Communication Services,65,Wireless Telecommunication Services
176,SPOK,SPOK US Equity,SPOK HOLDINGS IN,1,Communication Services,65,Wireless Telecommunication Services
177,TDS,TDS US Equity,TELEPHONE & DATA,1,Communication Services,65,Wireless Telecommunication Services
178,TMUS,TMUS US Equity,T-MOBILE US INC,1,Communication Services,65,Wireless Telecommunication Services
179,USM,USM US Equity,US CELLULAR CORP,1,Communication Services,65,Wireless Telecommunication Services
180,ADNT,ADNT US Equity,ADIENT PLC,2,Consumer Discretionary,3,Automobile Components
181,AXL,AXL US Equity,AMER AXLE & MFG,2,Consumer Discretionary,3,Automobile Components
182,BWA,BWA US Equity,BORGWARNER INC,2,Consumer Discretionary,3,Automobile Components
183,CPS,CPS US Equity,COOPER-STANDARD,2,Consumer Discretionary,3,Automobile Components
184,DAN,DAN US Equity,DANA INC,2,Consumer Discretionary,3,Automobile Components
185,DORM,DORM US Equity,DORMAN PRODUCTS,2,Consumer Discretionary,3,Automobile Components
186,FOXF,FOXF US Equity,FOX FACTORY HOLD,2,Consumer Discretionary,3,Automobile Components
187,GNTX,GNTX US Equity,GENTEX CORP,2,Consumer Discretionary,3,Automobile Components
188,GT,GT US Equity,GOODYEAR TIRE,2,Consumer Discretionary,3,Automobile Components
189,HLLY,HLLY US Equity,HOLLEY INC,2,Consumer Discretionary,3,Automobile Components
190,LAZR,LAZR US Equity,LUMINAR TECHNOLO,2,Consumer Discretionary,3,Automobile Components
191,LCII,LCII US Equity,LCI INDUSTRIES,2,Consumer Discretionary,3,Automobile Components
192,LEA,LEA US Equity,LEAR CORP,2,Consumer Discretionary,3,Automobile Components
193,MKDW,MKDW US Equity,MKD TECH INC,2,Consumer Discretionary,3,Automobile Components
194,MOD,MOD US Equity,MODINE MFG CO,2,Consumer Discretionary,3,Automobile Components
195,MPAA,MPAA US Equity,MOTORCAR PARTS,2,Consumer Discretionary,3,Automobile Components
196,PATK,PATK US Equity,PATRICK INDS INC,2,Consumer Discretionary,3,Automobile Components
197,PHIN,PHIN US Equity,PHINIA INC,2,Consumer Discretionary,3,Automobile Components
198,QS,QS US Equity,QUANTUMSCAPE COR,2,Consumer Discretionary,3,Automobile Components
199,SLDP,SLDP US Equity,SOLID POWER INC,2,Consumer Discretionary,3,Automobile Components
200,SMP,SMP US Equity,STANDARD MOTOR,2,Consumer Discretionary,3,Automobile Components
201,SRI,SRI US Equity,STONERIDGE INC,2,Consumer Discretionary,3,Automobile Components
202,STRT,STRT US Equity,STRATTEC SEC,2,Consumer Discretionary,3,Automobile Components
203,SUP,SUP US Equity,SUPERIOR INDS,2,Consumer Discretionary,3,Automobile Components
204,SYPR,SYPR US Equity,SYPRIS SOLUTIONS,2,Consumer Discretionary,3,Automobile Components
205,THRM,THRM US Equity,GENTHERM INC,2,Consumer Discretionary,3,Automobile Components
206,VC,VC US Equity,VISTEON CORP,2,Consumer Discretionary,3,Automobile Components
207,WKSP,WKSP US Equity,WORKSPORT LTD,2,Consumer Discretionary,3,Automobile Components
208,XPEL,XPEL US Equity,XPEL INC,2,Consumer Discretionary,3,Automobile Components
209,AYRO,AYRO US Equity,AYRO INC,2,Consumer Discretionary,4,Automobiles
210,CENN,CENN US Equity,CENNTRO INC,2,Consumer Discretionary,4,Automobiles
211,ECDA,ECDA US Equity,ECD AUTOMOTIVE D,2,Consumer Discretionary,4,Automobiles
212,EVTV,EVTV US Equity,ENVIROTECH VEHIC,2,Consumer Discretionary,4,Automobiles
213,F,F US Equity,FORD MOTOR CO,2,Consumer Discretionary,4,Automobiles
214,FFAI,FFAI US Equity,FARADAY FUTURE I,2,Consumer Discretionary,4,Automobiles
215,FLYE,FLYE US Equity,FLY-E GROUP INC,2,Consumer Discretionary,4,Automobiles
216,GM,GM US Equity,GENERAL MOTORS C,2,Consumer Discretionary,4,Automobiles
217,HOG,HOG US Equity,HARLEY-DAVIDSON,2,Consumer Discretionary,4,Automobiles
218,LCID,LCID US Equity,LUCID GROUP INC,2,Consumer Discretionary,4,Automobiles
219,LVWR,LVWR US Equity,LIVEWIRE GROUP I,2,Consumer Discretionary,4,Automobiles
220,MAMO,MAMO US Equity,MASSIMO GROUP,2,Consumer Discretionary,4,Automobiles
221,MULN,MULN US Equity,MULLEN AUTOMOTIV,2,Consumer Discretionary,4,Automobiles
222,RIVN,RIVN US Equity,RIVIAN AUTOMOT-A,2,Consumer Discretionary,4,Automobiles
223,THO,THO US Equity,THOR INDUSTRIES,2,Consumer Discretionary,4,Automobiles
224,TSLA,TSLA US Equity,TESLA INC,2,Consumer Discretionary,4,Automobiles
225,VLCN,VLCN US Equity,VOLCON INC,2,Consumer Discretionary,4,Automobiles
226,WGO,WGO US Equity,WINNEBAGO INDS,2,Consumer Discretionary,4,Automobiles
227,WKHS,WKHS US Equity,WORKHORSE GROUP,2,Consumer Discretionary,4,Automobiles
228,AMZN,AMZN US Equity,AMAZON.COM INC,2,Consumer Discretionary,7,Broadline Retail
229,CPNG,CPNG US Equity,COUPANG INC,2,Consumer Discretionary,7,Broadline Retail
230,DDS,DDS US Equity,DILLARDS INC-A,2,Consumer Discretionary,7,Broadline Retail
231,DIBS,DIBS US Equity,1STDIBS.COM INC,2,Consumer Discretionary,7,Broadline Retail
232,EBAY,EBAY US Equity,EBAY INC,2,Consumer Discretionary,7,Broadline Retail
233,ETSY,ETSY US Equity,ETSY INC,2,Consumer Discretionary,7,Broadline Retail
234,GRPN,GRPN US Equity,GROUPON INC,2,Consumer Discretionary,7,Broadline Retail
235,HOUR,HOUR US Equity,HOUR LOOP INC,2,Consumer Discretionary,7,Broadline Retail
236,KSS,KSS US Equity,KOHLS CORP,2,Consumer Discretionary,7,Broadline Retail
237,M,M US Equity,MACY'S INC,2,Consumer Discretionary,7,Broadline Retail
238,OLLI,OLLI US Equity,OLLIE'S BARGAIN,2,Consumer Discretionary,7,Broadline Retail
239,QVCGA,QVCGA US Equity,QVC GROUP INC,2,Consumer Discretionary,7,Broadline Retail
240,SVV,SVV US Equity,SAVERS VALUE VIL,2,Consumer Discretionary,7,Broadline Retail
241,AENT,AENT US Equity,ALLIANCE ENTERTA,2,Consumer Discretionary,18,Distributors
242,AMRK,AMRK US Equity,A-MARK PRECIOUS,2,Consumer Discretionary,18,Distributors
243,CTNT,CTNT US Equity,CHEETAH NET SUPP,2,Consumer Discretionary,18,Distributors
244,DIT,DIT US Equity,AMCON DISTRIBUT,2,Consumer Discretionary,18,Distributors
245,EDUC,EDUC US Equity,EDUCATIONAL DEV,2,Consumer Discretionary,18,Distributors
246,GCT,GCT US Equity,GIGACLOUD TECH-A,2,Consumer Discretionary,18,Distributors
247,GNLN,GNLN US Equity,GREENLANE HOLD-A,2,Consumer Discretionary,18,Distributors
248,GPC,GPC US Equity,GENUINE PARTS CO,2,Consumer Discretionary,18,Distributors
249,KAVL,KAVL US Equity,KAIVAL BRANDS IN,2,Consumer Discretionary,18,Distributors
250,LKQ,LKQ US Equity,LKQ CORP,2,Consumer Discretionary,18,Distributors
251,POOL,POOL US Equity,POOL CORP,2,Consumer Discretionary,18,Distributors
252,WEYS,WEYS US Equity,WEYCO GROUP,2,Consumer Discretionary,18,Distributors
